City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Pando,UY,-34.72,-55.95,77.0,73,20,8.05,few clouds
309,Los Llanos De Aridane,ES,28.66,-17.92,69.8,49,40,6.93,scattered clouds
310,La Brea,HN,15.8,-85.97,78.8,78,20,1.3,few clouds
311,Kingaroy,AU,-26.53,151.83,69.8,68,54,9.17,broken clouds
312,Hoa Binh,VN,20.81,105.34,68.0,60,0,4.7,clear sky
313,Vigrestad,NO,58.57,5.7,42.8,81,75,10.29,broken clouds
314,Mount Gambier,AU,-37.83,140.77,46.4,100,0,2.51,clear sky
315,Ahipara,NZ,-35.17,173.17,63.82,95,100,8.97,light rain
316,Shelburne,CA,44.08,-80.2,41.0,88,32,13.56,scattered clouds
317,Lavrentiya,RU,65.58,-171.0,17.85,91,33,9.93,scattered clouds
318,Turukhansk,RU,65.82,87.98,-1.21,93,100,10.8,overcast clouds
319,Marzuq,YE,14.4,46.47,68.52,70,2,7.92,clear sky
320,Rocha,UY,-34.48,-54.33,80.62,59,6,14.5,clear sky
321,Saint-Augustin,CA,51.23,-58.65,30.76,98,100,10.27,light snow
322,Mananjary,MG,-21.22,48.33,78.53,76,0,12.08,clear sky
323,Atar,MR,20.52,-13.05,82.0,16,70,3.18,broken clouds
324,Termoli,IT,41.99,14.99,52.0,99,100,5.01,moderate rain
325,Maniitsoq,GL,65.42,-52.9,29.98,98,100,28.34,snow
326,Manaure,CO,11.78,-72.44,84.47,74,100,19.22,overcast clouds
327,Lincoln,US,40.8,-96.67,37.0,64,1,19.46,clear sky
328,Cabra,ES,37.47,-4.44,60.8,67,0,8.05,clear sky
329,Tangshan,CN,39.63,118.18,27.81,76,0,2.42,clear sky
330,Przhevalskoye,RU,55.51,31.85,34.99,98,100,5.91,light rain
331,Kontagora,NG,10.4,5.47,97.92,10,0,4.94,clear sky
332,Chimbote,PE,-9.09,-78.58,69.71,74,72,7.09,broken clouds
333,Chicama,PE,-7.84,-79.15,62.6,93,90,8.05,mist
334,Kaitangata,NZ,-46.28,169.85,52.0,71,92,3.0,overcast clouds
335,Hofn,IS,64.25,-15.21,33.8,100,20,8.05,few clouds
336,Port Hardy,CA,50.7,-127.42,44.6,80,90,12.75,overcast clouds
337,Port Elizabeth,ZA,-33.92,25.57,69.8,56,0,8.05,clear sky
338,Vestmannaeyjar,IS,63.44,-20.27,39.2,86,40,17.22,scattered clouds
339,Yangambi,CD,0.81,24.43,78.22,83,39,2.75,light rain
340,Mareeba,AU,-17.0,145.43,77.0,83,90,5.82,overcast clouds
341,Whitehorse,CA,60.72,-135.05,28.4,68,20,24.16,few clouds
342,Avera,US,33.19,-82.53,55.4,76,90,4.7,haze
343,Machinga,MW,-15.17,35.3,85.8,39,81,2.93,broken clouds
344,Lebu,CL,-37.62,-73.65,57.9,54,0,19.46,clear sky
345,Benguela,AO,-12.58,13.41,80.91,72,99,6.64,overcast clouds
346,Changli,CN,39.7,119.15,26.22,79,0,7.38,clear sky
347,San Vicente,AR,-26.62,-54.13,89.42,40,98,6.62,moderate rain
348,Zyryanka,RU,65.75,150.85,-15.47,89,23,4.72,few clouds
349,Bubaque,GW,11.28,-15.83,81.0,39,44,6.33,scattered clouds
350,Concordia,AR,-31.39,-58.02,75.2,73,40,5.82,scattered clouds
351,Horsham,GB,51.06,-0.33,46.99,87,90,4.7,overcast clouds
352,Kinsale,IE,51.71,-8.53,51.01,93,90,3.36,overcast clouds
353,Kuching,MY,1.55,110.33,75.2,100,40,3.36,scattered clouds
354,Kifri,IQ,34.7,44.97,58.41,67,40,9.06,scattered clouds
355,Muswellbrook,AU,-32.27,150.9,66.99,68,14,8.01,few clouds
356,Lompoc,US,34.64,-120.46,41.0,64,1,4.7,clear sky
357,Cervia,IT,44.27,12.34,46.4,81,90,9.17,mist
358,Urengoy,RU,65.97,78.37,6.12,94,100,9.69,overcast clouds
359,Srednekolymsk,RU,67.45,153.68,-15.88,88,96,7.74,overcast clouds
360,Pokhara,NP,28.23,83.98,58.66,42,0,3.4,clear sky
361,Payo,ID,-3.75,103.64,73.67,91,100,0.74,light rain
362,Ornskoldsvik,SE,63.29,18.72,26.6,100,75,4.7,broken clouds
